epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-26 05:27:02,0,0,0,0,111.63,59,0
0,2023-02-26 05:31:53,103.206894,0.010578,223.529846,0.010317,154.58,62,0
1,2023-02-26 05:36:21,398.117706,0.00961,626.879578,0.009615,152.46,60,0
2,2023-02-26 05:40:50,930.223206,0.009861,1266.234131,0.010717,130.53,59,0
3,2023-02-26 05:45:18,1766.754395,0.010478,2362.276123,0.009716,136.23,58,0
4,2023-02-26 05:49:46,3004.075439,0.00921,3659.982666,0.011318,137.49,58,0
5,2023-02-26 05:54:16,4356.289062,0.010278,5307.394043,0.009415,151.59,60,0
6,2023-02-26 05:58:42,6248.87207,0.009777,7317.472168,0.009415,153.20,60,0
7,2023-02-26 06:03:11,8249.755859,0.010077,9490.220703,0.008353,142.84,59,0
8,2023-02-26 06:07:39,10655.931641,0.010528,11896.586914,0.010517,153.84,60,0
9,2023-02-26 06:12:06,13522.398438,0.010344,14926.604492,0.009615,129.71,58,0
10,2023-02-26 06:16:34,16508.576172,0.011394,18379.601562,0.011118,150.03,60,0
11,2023-02-26 06:21:02,20782.455078,0.010444,22918.333984,0.008313,152.00,61,0
12,2023-02-26 06:25:29,25715.861328,0.00971,29060.166016,0.009916,152.17,61,0
13,2023-02-26 06:29:56,30963.03125,0.010561,33713.714844,0.00936,135.10,59,0
14,2023-02-26 06:34:23,35885.113281,0.00971,37909.425781,0.009716,138.52,58,0
15,2023-02-26 06:38:52,40856.230469,0.008862,44531.71875,0.009159,147.07,59,0
16,2023-02-26 06:43:19,47466.40625,0.00971,50213.726562,0.008914,138.68,59,0
17,2023-02-26 06:47:48,53275.988281,0.010178,57114.632812,0.008914,150.87,61,0
18,2023-02-26 06:52:15,54711.664062,0.009328,56015.121094,0.009916,151.29,61,0
19,2023-02-26 06:56:43,58458.742188,0.009343,61174.667969,0.008213,139.72,60,0
20,2023-02-26 07:01:12,63933.078125,0.009628,68227.15625,0.012379,135.96,59,0
21,2023-02-26 07:05:40,57405.585938,0.010228,53488.867188,0.010266,150.40,61,0
22,2023-02-26 07:10:07,56386.46875,0.011112,58614.851562,0.009716,145.98,59,0
23,2023-02-26 07:14:34,60631.511719,0.010311,62989.894531,0.007246,137.75,59,0
24,2023-02-26 07:19:02,60877.722656,0.010845,57094.417969,0.009415,151.32,61,0
25,2023-02-26 07:23:30,49887.6875,0.010244,28752.451172,0.010216,140.50,59,0
26,2023-02-26 07:27:59,30489.148438,0.010211,32396.933594,0.009816,142.03,59,0
27,2023-02-26 07:32:27,33254.402344,0.010411,33484.878906,0.012119,149.47,60,0
28,2023-02-26 07:36:55,35957.375,0.009844,36595.757812,0.010317,151.59,61,0
29,2023-02-26 07:41:22,38123.53125,0.009443,39230.125,0.010817,133.92,59,0
30,2023-02-26 07:45:52,27294.40625,0.009544,15551.485352,0.008413,139.67,59,0
31,2023-02-26 07:50:22,9253.902344,0.010578,5.334219,0.009816,129.52,58,0
32,2023-02-26 07:54:51,11.024954,0.010545,4.605145,0.011373,150.66,60,0
33,2023-02-26 07:59:21,13.818608,0.010077,6.240596,0.010317,151.50,61,0
34,2023-02-26 08:03:48,14.694198,0.010778,80.865662,0.010817,122.65,57,0
35,2023-02-26 08:08:18,12.935761,0.009577,4.605165,0.010917,130.00,58,0
36,2023-02-26 08:12:47,17.75309,0.009544,4.940742,0.010417,149.33,60,0
37,2023-02-26 08:17:16,13.054939,0.010611,6.195888,0.011018,137.74,58,0
38,2023-02-26 08:21:45,18.470474,0.009544,5.603853,0.009415,127.61,58,0
39,2023-02-26 08:26:15,23.077185,0.010111,20.287943,0.011218,142.89,59,0
40,2023-02-26 08:30:44,30.724001,0.010077,120.015923,0.009716,137.22,60,0
41,2023-02-26 08:35:13,34.094269,0.010478,62.236053,0.008714,150.17,60,0
42,2023-02-26 08:39:41,33.800377,0.010545,19.875206,0.009816,125.86,58,0
43,2023-02-26 08:44:10,41.605816,0.009861,21.540159,0.009259,132.78,59,0
44,2023-02-26 08:48:40,43.996166,0.010394,48.928913,0.008313,139.95,59,0
45,2023-02-26 08:53:09,47.961178,0.009428,100.333656,0.008514,131.85,58,0
46,2023-02-26 08:57:39,59.785034,0.009861,132.316193,0.011071,135.99,59,0
47,2023-02-26 09:02:06,70.528549,0.009728,19.13759,0.011218,131.04,58,0
48,2023-02-26 09:06:35,74.952408,0.009644,219.048981,0.011018,135.55,59,0
49,2023-02-26 09:11:05,74.025841,0.011027,16.576597,0.010116,126.99,58,0
post,2023-02-26 09:11:10,0,0,0,0,109.11,56,0
