epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-25 15:03:35,0,0,0,0,112.29,58,0
0,2023-02-25 15:04:29,4.504709,0.048193,4.67697,0.007212,125.72,53,17
1,2023-02-25 15:05:09,4.17241,0.098011,4.613012,0.007612,128.02,57,8
2,2023-02-25 15:05:48,4.462852,0.101682,4.605009,0.010212,131.33,60,2
3,2023-02-25 15:06:27,4.583477,0.092804,4.60509,0.013622,132.60,63,22
4,2023-02-25 15:07:07,4.605172,0.012682,4.605171,0.009615,133.15,63,10
5,2023-02-25 15:07:46,4.605201,0.010012,4.605169,0.010016,131.57,59,22
6,2023-02-25 15:08:26,4.605206,0.010012,4.605169,0.010417,129.77,58,8
7,2023-02-25 15:09:05,4.605206,0.010635,4.605169,0.010417,130.93,60,9
8,2023-02-25 15:09:44,4.605206,0.009567,4.605169,0.011218,132.68,62,0
9,2023-02-25 15:10:24,4.605206,0.009968,4.605169,0.010016,132.63,63,0
10,2023-02-25 15:11:03,4.605206,0.010146,4.605169,0.010817,132.68,63,7
11,2023-02-25 15:11:43,4.605206,0.010635,4.605169,0.009615,131.57,61,0
12,2023-02-25 15:12:22,4.605206,0.009523,4.605169,0.008013,130.57,61,16
13,2023-02-25 15:13:02,4.605206,0.010124,4.605169,0.011619,131.13,62,19
14,2023-02-25 15:13:42,4.605206,0.009634,4.605169,0.010417,131.82,62,17
15,2023-02-25 15:14:20,4.605206,0.010702,4.605169,0.014423,131.79,62,0
16,2023-02-25 15:15:00,4.605206,0.010435,4.605169,0.014423,131.53,61,0
17,2023-02-25 15:15:39,4.605206,0.009857,4.605169,0.009215,130.90,61,0
18,2023-02-25 15:16:19,4.605206,0.009735,4.605169,0.007612,130.98,62,7
19,2023-02-25 15:16:58,4.605206,0.009723,4.605169,0.007612,131.74,62,0
20,2023-02-25 15:17:37,4.605206,0.009946,4.605169,0.008013,131.45,62,8
21,2023-02-25 15:18:16,4.605206,0.009768,4.605169,0.012019,131.11,62,0
22,2023-02-25 15:18:56,4.605206,0.009812,4.605169,0.009215,131.41,62,16
23,2023-02-25 15:19:35,4.605206,0.009768,4.605169,0.011218,131.25,62,0
24,2023-02-25 15:20:14,4.605206,0.010302,4.605169,0.010817,131.72,62,5
25,2023-02-25 15:20:53,4.605206,0.010457,4.605169,0.011218,131.69,62,0
26,2023-02-25 15:21:32,4.605206,0.010079,4.605169,0.008413,131.33,62,8
27,2023-02-25 15:22:11,4.605206,0.010035,4.605169,0.00817,133.90,62,5
28,2023-02-25 15:22:50,4.605206,0.010124,4.605169,0.008814,125.25,53,8
29,2023-02-25 15:23:29,4.605206,0.010368,4.605169,0.009615,127.23,57,0
30,2023-02-25 15:24:07,4.605206,0.010168,4.605169,0.010016,130.50,60,0
31,2023-02-25 15:24:44,4.605206,0.009545,4.605169,0.008013,132.40,62,5
32,2023-02-25 15:25:22,4.605206,0.010057,4.605169,0.008814,131.71,62,11
33,2023-02-25 15:25:59,4.605206,0.009857,4.605169,0.007612,131.20,61,5
34,2023-02-25 15:26:37,4.605206,0.010457,4.605169,0.007761,130.64,61,0
35,2023-02-25 15:27:15,4.605206,0.009923,4.605169,0.009615,131.45,62,0
36,2023-02-25 15:27:54,4.605206,0.010057,4.605169,0.009215,132.12,62,4
37,2023-02-25 15:28:37,4.605206,0.009857,4.605169,0.009215,131.13,62,0
38,2023-02-25 15:29:21,4.605206,0.0093,4.605169,0.008013,131.49,62,0
39,2023-02-25 15:30:04,4.605206,0.009857,4.605169,0.007212,132.08,62,6
40,2023-02-25 15:30:47,4.605206,0.009923,4.605169,0.008814,131.96,62,6
41,2023-02-25 15:31:31,4.605206,0.010124,4.605169,0.009215,131.38,62,0
42,2023-02-25 15:32:13,4.605206,0.010591,4.605169,0.00641,131.45,62,0
43,2023-02-25 15:32:51,4.605206,0.009723,4.605169,0.01242,133.92,60,16
44,2023-02-25 15:33:29,4.605206,0.010279,4.605169,0.007212,125.65,54,0
45,2023-02-25 15:34:10,4.605206,0.009434,4.605169,0.011218,127.61,57,1
46,2023-02-25 15:34:48,4.605206,0.00959,4.605169,0.009215,130.80,60,0
47,2023-02-25 15:35:27,4.605206,0.010435,4.605169,0.008413,132.36,62,0
48,2023-02-25 15:36:05,4.605206,0.009545,4.605169,0.008413,132.12,63,2
49,2023-02-25 15:36:44,4.605206,0.009812,4.605169,0.011218,132.56,63,2
post,2023-02-25 15:36:49,0,0,0,0,114.13,61,0
