epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-25 15:37:06,0,0,0,0,113.05,60,0
0,2023-02-25 15:38:22,4.357696,0.056648,4.742737,0.011018,129.36,55,16
1,2023-02-25 15:39:27,3.8532,0.110044,4.69872,0.010617,131.47,60,11
2,2023-02-25 15:40:31,3.903917,0.106117,4.869442,0.021835,132.66,63,0
3,2023-02-25 15:41:37,3.872861,0.102291,4.049724,0.076568,136.21,64,13
4,2023-02-25 15:42:42,3.813302,0.109069,5.293744,0.016026,134.13,62,13
5,2023-02-25 15:43:46,3.782209,0.112045,4.348796,0.046222,130.20,62,0
6,2023-02-25 15:44:51,3.763518,0.115175,3.942618,0.097756,134.49,62,0
7,2023-02-25 15:45:55,3.746812,0.119398,4.29886,0.054087,133.75,63,0
8,2023-02-25 15:46:59,3.741332,0.118572,4.794512,0.014469,131.49,62,5
9,2023-02-25 15:48:04,3.741241,0.11965,5.286098,0.023838,133.48,62,0
10,2023-02-25 15:49:09,3.738117,0.119398,5.357635,0.019832,131.95,62,10
11,2023-02-25 15:50:14,3.733818,0.121424,4.803337,0.019832,131.88,62,0
12,2023-02-25 15:51:18,3.73519,0.121248,4.643579,0.026042,131.91,62,5
13,2023-02-25 15:52:23,3.742839,0.120548,10.784738,0.011418,131.91,62,0
14,2023-02-25 15:53:27,3.740597,0.121274,12.754384,0.010216,132.02,62,0
15,2023-02-25 15:54:32,3.738968,0.123399,4.837113,0.010417,132.35,62,8
16,2023-02-25 15:55:37,3.738096,0.123199,19.858469,0.009816,128.66,62,0
17,2023-02-25 15:56:42,3.735956,0.121223,7.650088,0.017283,132.06,62,0
18,2023-02-25 15:57:47,3.734928,0.122274,30.433241,0.012019,130.26,62,2
19,2023-02-25 15:58:52,3.740752,0.122774,7.7386,0.007812,131.26,62,4
20,2023-02-25 15:59:55,3.733353,0.124125,15.916138,0.010016,132.32,62,0
21,2023-02-25 16:01:00,3.740832,0.121475,7.704946,0.019431,132.21,62,10
22,2023-02-25 16:02:05,3.742943,0.121,12.256363,0.014423,129.71,62,0
23,2023-02-25 16:03:09,3.76336,0.123925,30.564903,0.009816,130.90,62,3
24,2023-02-25 16:04:13,3.787586,0.11885,88.313225,0.010016,129.31,62,0
25,2023-02-25 16:05:18,3.826411,0.11465,207.542343,0.010216,131.55,62,8
26,2023-02-25 16:06:21,3.836818,0.110594,428.163422,0.01222,132.69,62,7
27,2023-02-25 16:07:25,3.857823,0.108143,230.838699,0.008413,131.67,62,0
28,2023-02-25 16:08:29,3.853896,0.1072,138.241074,0.010216,131.24,62,0
29,2023-02-25 16:09:33,3.880072,0.103792,318.496613,0.010617,130.41,62,0
30,2023-02-25 16:10:38,3.884938,0.100915,100.985092,0.010417,129.92,62,2
31,2023-02-25 16:11:42,3.894268,0.10064,96.755875,0.011218,129.04,62,0
32,2023-02-25 16:12:47,3.963251,0.090911,126.169357,0.008614,131.56,62,4
33,2023-02-25 16:13:51,3.962531,0.0919,77.406548,0.013221,132.54,62,9
34,2023-02-25 16:14:55,3.96198,0.089961,305.606049,0.009043,129.94,62,0
35,2023-02-25 16:16:00,3.966703,0.088235,110.498695,0.010216,131.17,62,1
36,2023-02-25 16:17:05,3.963897,0.08816,100.473106,0.01222,130.79,62,0
37,2023-02-25 16:18:10,3.999088,0.083283,33.853504,0.010617,130.29,62,0
38,2023-02-25 16:19:14,4.014654,0.07975,31.684912,0.009244,131.75,62,1
39,2023-02-25 16:20:19,4.011072,0.077731,28.752783,0.009244,129.66,62,0
40,2023-02-25 16:21:24,4.007764,0.0769,136.770981,0.010817,130.86,62,5
41,2023-02-25 16:22:28,4.010117,0.07695,100.910439,0.009014,129.41,62,0
42,2023-02-25 16:23:33,4.013144,0.076331,51.245598,0.010617,131.06,62,0
43,2023-02-25 16:24:38,4.009305,0.076781,35.402779,0.01246,129.52,62,1
44,2023-02-25 16:25:43,4.015622,0.07568,16.68119,0.009244,132.06,62,8
45,2023-02-25 16:26:48,4.015455,0.07388,18.352251,0.009816,129.42,62,0
46,2023-02-25 16:27:53,4.014449,0.074925,32.08831,0.012259,129.55,62,0
47,2023-02-25 16:28:58,4.014415,0.075605,58.173088,0.013421,129.01,62,0
48,2023-02-25 16:30:03,4.021951,0.072554,30.414194,0.011418,130.08,62,0
49,2023-02-25 16:31:07,4.016234,0.073554,24.018797,0.013822,130.96,62,1
post,2023-02-25 16:31:12,0,0,0,0,113.72,61,0
