epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-28 23:59:23,0,0,0,0,106.91,45,0
0,2023-02-28 23:59:54,4.507067,0.045348,4.650997,0.011018,188.94,54,16
1,2023-03-01 00:00:19,4.338945,0.092816,4.60626,0.009631,194.99,56,1
2,2023-03-01 00:00:43,4.572399,0.075747,4.605129,0.009916,190.41,57,10
3,2023-03-01 00:01:08,4.605172,0.011006,4.605178,0.011418,194.29,58,0
4,2023-03-01 00:01:33,4.605196,0.010639,4.605182,0.009831,190.28,59,0
5,2023-03-01 00:01:58,4.605198,0.010005,4.605182,0.011318,191.07,59,1
6,2023-03-01 00:02:22,4.605198,0.010339,4.605182,0.010116,192.34,59,8
7,2023-03-01 00:02:46,4.605197,0.009844,4.605182,0.010417,193.40,60,0
8,2023-03-01 00:03:11,4.605198,0.009472,4.605182,0.009716,193.18,60,0
9,2023-03-01 00:03:36,4.605198,0.009538,4.605182,0.009916,199.82,60,0
10,2023-03-01 00:04:01,4.605198,0.00911,4.605182,0.009731,198.05,60,14
11,2023-03-01 00:04:26,4.605198,0.009005,4.605182,0.009731,197.71,60,19
12,2023-03-01 00:04:50,4.605198,0.010072,4.605182,0.009029,196.69,60,16
13,2023-03-01 00:05:15,4.605198,0.00981,4.605182,0.009615,190.26,60,3
14,2023-03-01 00:05:40,4.605197,0.010678,4.605182,0.010917,194.23,60,0
15,2023-03-01 00:06:05,4.605198,0.010539,4.605182,0.010917,193.13,59,7
16,2023-03-01 00:06:30,4.605197,0.00941,4.605182,0.010817,191.14,59,0
17,2023-03-01 00:06:54,4.605197,0.010611,4.605182,0.010216,186.01,59,7
18,2023-03-01 00:07:19,4.605197,0.010011,4.605182,0.010717,192.49,59,9
19,2023-03-01 00:07:44,4.605197,0.010411,4.605182,0.010317,192.83,59,14
20,2023-03-01 00:08:08,4.605198,0.009839,4.605182,0.009916,190.93,59,3
21,2023-03-01 00:08:33,4.605198,0.010272,4.605182,0.011619,192.70,59,0
22,2023-03-01 00:08:57,4.605198,0.010105,4.605182,0.010016,186.51,59,13
23,2023-03-01 00:09:22,4.605197,0.00941,4.605182,0.009315,194.46,59,18
24,2023-03-01 00:09:47,4.605198,0.010172,4.605182,0.009415,194.42,59,17
25,2023-03-01 00:10:12,4.605198,0.010272,4.605182,0.009932,191.45,59,0
26,2023-03-01 00:10:36,4.605198,0.009939,4.605182,0.009014,191.99,59,6
27,2023-03-01 00:11:01,4.605197,0.010278,4.605182,0.011018,194.68,59,14
28,2023-03-01 00:11:26,4.605198,0.009438,4.605182,0.008714,193.35,59,20
29,2023-03-01 00:11:51,4.605197,0.010645,4.605182,0.007612,196.87,59,0
30,2023-03-01 00:12:16,4.605197,0.010211,4.605182,0.011537,189.55,59,0
31,2023-03-01 00:12:40,4.605197,0.009777,4.605182,0.008614,195.52,59,16
32,2023-03-01 00:13:05,4.605198,0.010005,4.605182,0.009916,191.13,59,6
33,2023-03-01 00:13:30,4.605198,0.010039,4.605182,0.009916,194.23,59,0
34,2023-03-01 00:13:54,4.605197,0.009777,4.605182,0.011719,187.52,59,0
35,2023-03-01 00:14:19,4.605198,0.010072,4.605182,0.010734,188.76,59,0
36,2023-03-01 00:14:44,4.605198,0.00961,4.605182,0.009731,198.15,59,0
37,2023-03-01 00:15:09,4.605197,0.00951,4.605182,0.00953,189.83,59,0
38,2023-03-01 00:15:34,4.605198,0.009972,4.605182,0.010317,190.84,59,0
39,2023-03-01 00:15:59,4.605198,0.009805,4.605182,0.010717,189.23,59,0
40,2023-03-01 00:16:23,4.605198,0.010506,4.605182,0.009831,187.95,59,0
41,2023-03-01 00:16:48,4.605198,0.010472,4.605182,0.008814,186.75,59,0
42,2023-03-01 00:17:13,4.605198,0.009572,4.605182,0.009615,188.20,59,0
43,2023-03-01 00:17:38,4.605198,0.010439,4.605182,0.010016,187.23,59,0
44,2023-03-01 00:18:02,4.605197,0.010011,4.605182,0.010717,195.93,59,8
45,2023-03-01 00:18:27,4.605197,0.009911,4.605182,0.010734,185.04,59,0
46,2023-03-01 00:18:52,4.605198,0.009638,4.605182,0.009916,188.48,59,0
47,2023-03-01 00:19:17,4.605197,0.009076,4.605182,0.010717,186.77,58,0
48,2023-03-01 00:19:41,4.605198,0.009572,4.605182,0.009129,193.64,59,7
49,2023-03-01 00:20:06,4.605197,0.010545,4.605182,0.009731,187.35,59,0
post,2023-03-01 00:20:12,0,0,0,0,110.93,52,0
