epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-26 23:21:07,0,0,0,0,105.89,43,0
0,2023-02-26 23:21:39,4.660402,0.04378,4.219539,0.06881,123.29,43,0
1,2023-02-26 23:21:59,4.100203,0.089896,3.969802,0.111879,122.19,42,0
2,2023-02-26 23:22:20,4.010074,0.102112,3.988106,0.105268,123.99,42,0
3,2023-02-26 23:22:41,4.013594,0.101008,3.967698,0.110276,124.46,42,0
4,2023-02-26 23:23:01,4.002059,0.102176,3.959961,0.108073,128.28,42,3
5,2023-02-26 23:23:21,4.014641,0.10044,3.968813,0.112881,122.46,41,6
6,2023-02-26 23:23:41,4.00873,0.10351,3.975336,0.111278,122.83,41,2
7,2023-02-26 23:24:02,4.013929,0.101108,3.980387,0.110407,121.91,41,0
8,2023-02-26 23:24:22,4.005023,0.104011,3.94848,0.109475,119.48,40,0
9,2023-02-26 23:24:41,4.00415,0.103444,3.963404,0.114483,123.19,41,5
10,2023-02-26 23:25:02,4.021813,0.099314,3.961188,0.112981,119.83,40,0
11,2023-02-26 23:25:21,4.015736,0.103544,3.968763,0.113782,119.02,40,0
12,2023-02-26 23:25:42,4.006163,0.103177,3.972919,0.11228,122.16,40,0
13,2023-02-26 23:26:01,4.012914,0.10018,3.972442,0.107488,124.38,40,7
14,2023-02-26 23:26:22,4.013706,0.102409,3.962252,0.112981,121.27,40,0
15,2023-02-26 23:26:43,4.008858,0.103045,3.951823,0.117854,123.02,40,0
16,2023-02-26 23:27:03,4.006061,0.103177,3.959047,0.107372,121.88,40,0
17,2023-02-26 23:27:24,4.009534,0.101041,3.957219,0.109876,119.60,40,3
18,2023-02-26 23:27:44,4.009224,0.101546,3.963767,0.111679,122.18,40,0
19,2023-02-26 23:28:04,4.004239,0.104078,3.968925,0.107372,122.04,40,0
20,2023-02-26 23:28:24,4.012793,0.102012,3.988439,0.109803,121.67,40,4
21,2023-02-26 23:28:45,4.007288,0.102545,3.982488,0.106683,121.76,40,0
22,2023-02-26 23:29:05,4.006832,0.099907,3.956843,0.108273,119.01,40,0
23,2023-02-26 23:29:24,4.000179,0.106447,3.96864,0.111715,123.98,40,0
24,2023-02-26 23:29:44,4.013502,0.10271,3.956656,0.112881,122.15,40,0
25,2023-02-26 23:30:05,3.999754,0.105579,3.977451,0.111679,121.11,40,0
26,2023-02-26 23:30:25,4.005973,0.104478,3.976525,0.107572,123.49,40,6
27,2023-02-26 23:30:46,4.00253,0.102242,3.986053,0.103966,118.86,40,0
28,2023-02-26 23:31:06,4.013443,0.103811,3.964493,0.11248,123.52,40,2
29,2023-02-26 23:31:25,4.00931,0.102309,3.982397,0.109876,122.12,40,3
30,2023-02-26 23:31:45,4.002227,0.10271,3.981245,0.103566,121.67,40,0
31,2023-02-26 23:32:06,4.008303,0.099973,3.979855,0.109275,120.57,40,0
32,2023-02-26 23:32:26,4.009731,0.100541,3.959868,0.107589,122.16,40,0
33,2023-02-26 23:32:46,4.000364,0.104411,3.981232,0.110377,123.21,41,0
34,2023-02-26 23:33:06,4.001906,0.10321,3.993327,0.112079,122.57,41,0
35,2023-02-26 23:33:26,4.007837,0.103277,3.973783,0.10627,120.86,41,2
36,2023-02-26 23:33:46,3.997537,0.100574,3.979605,0.110577,123.22,41,6
37,2023-02-26 23:34:06,4.004467,0.105379,3.966421,0.105569,124.47,41,6
38,2023-02-26 23:34:26,4.007704,0.103777,3.974071,0.115986,122.19,41,0
39,2023-02-26 23:34:46,4.006962,0.103811,3.958646,0.106871,123.71,41,0
40,2023-02-26 23:35:06,4.008845,0.103277,3.960587,0.111078,121.08,41,0
41,2023-02-26 23:35:27,4.006344,0.101909,3.974672,0.115585,122.06,41,0
42,2023-02-26 23:35:47,4.015809,0.101542,3.973908,0.107171,123.14,41,1
43,2023-02-26 23:36:07,4.012423,0.102179,3.954965,0.111614,123.50,41,0
44,2023-02-26 23:36:28,4.00416,0.102012,3.973357,0.105669,121.16,41,0
45,2023-02-26 23:36:48,4.004598,0.102579,3.96398,0.111478,124.64,41,0
46,2023-02-26 23:37:08,4.01057,0.102212,3.978978,0.112218,121.50,41,0
47,2023-02-26 23:37:29,4.001349,0.103878,3.974547,0.110978,122.67,41,7
48,2023-02-26 23:37:50,4.006605,0.101241,3.985151,0.10597,119.69,42,0
49,2023-02-26 23:38:10,4.006963,0.104877,3.956167,0.115986,119.03,41,0
post,2023-02-26 23:38:15,0,0,0,0,104.99,40,0
