epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-25 14:39:12,0,0,0,0,100.80,41,0
0,2023-02-25 14:39:53,5.661427,0.022483,4.745878,0.020032,135.20,50,17
1,2023-02-25 14:40:21,4.198453,0.043078,4.433334,0.037393,138.83,54,14
2,2023-02-25 14:40:50,4.043411,0.061442,4.006933,0.074119,136.51,57,18
3,2023-02-25 14:41:17,3.874947,0.085326,3.809726,0.101362,139.82,60,7
4,2023-02-25 14:41:45,3.662827,0.121768,3.742897,0.11859,140.58,62,5
5,2023-02-25 14:42:13,3.460489,0.160784,3.314517,0.176683,146.41,63,17
6,2023-02-25 14:42:41,3.395609,0.173026,4.166507,0.152377,143.68,63,8
7,2023-02-25 14:43:09,3.257909,0.198055,4.60219,0.183226,144.85,62,23
8,2023-02-25 14:43:37,3.18367,0.213501,85.384232,0.021501,142.77,61,26
9,2023-02-25 14:44:06,3.233726,0.204033,3.24594,0.219952,141.06,61,6
10,2023-02-25 14:44:34,2.966098,0.25409,5.441587,0.234375,140.17,61,4
11,2023-02-25 14:45:01,2.815906,0.283324,4.239225,0.231571,142.77,62,20
12,2023-02-25 14:45:29,2.699864,0.305349,2.871201,0.289263,141.34,62,5
13,2023-02-25 14:45:57,2.559225,0.334266,4.326087,0.348157,141.39,62,13
14,2023-02-25 14:46:26,2.451198,0.354949,4.399299,0.299679,140.90,61,18
15,2023-02-25 14:46:54,2.385903,0.369458,2.617568,0.339343,140.52,61,0
16,2023-02-25 14:47:22,2.313534,0.385011,3.785465,0.240323,142.74,61,9
17,2023-02-25 14:47:50,2.154352,0.415132,2.56764,0.384946,141.74,62,15
18,2023-02-25 14:48:17,1.994981,0.454296,2.336525,0.392228,141.09,62,0
19,2023-02-25 14:48:46,1.936235,0.46968,2.239568,0.434028,142.54,62,7
20,2023-02-25 14:49:14,1.751946,0.510769,1.822549,0.504032,142.32,62,5
21,2023-02-25 14:49:43,1.646841,0.533335,1.759207,0.536156,141.29,62,6
22,2023-02-25 14:50:10,1.499541,0.574743,1.746038,0.529647,141.59,62,4
23,2023-02-25 14:50:39,1.333227,0.614731,2.821649,0.48531,141.38,62,4
24,2023-02-25 14:51:07,1.183254,0.650543,1.741618,0.555155,140.65,62,0
25,2023-02-25 14:51:35,1.103123,0.673541,1.250147,0.661458,140.80,62,13
26,2023-02-25 14:52:03,0.916466,0.724171,1.627358,0.57679,140.14,62,0
27,2023-02-25 14:52:31,0.778131,0.762586,1.098518,0.717281,140.98,62,18
28,2023-02-25 14:52:59,0.678337,0.790418,1.125132,0.688702,139.86,62,13
29,2023-02-25 14:53:27,0.588754,0.818164,0.969068,0.73117,138.50,62,0
30,2023-02-25 14:53:56,0.499111,0.844136,0.905736,0.748264,139.75,62,0
31,2023-02-25 14:54:24,0.404341,0.871653,0.804671,0.771368,143.41,62,22
32,2023-02-25 14:54:52,0.386206,0.876974,0.628787,0.828898,139.66,62,1
33,2023-02-25 14:55:20,0.321893,0.898169,1.03754,0.742121,140.08,62,13
34,2023-02-25 14:55:48,0.287173,0.908924,0.791585,0.80235,141.82,62,24
35,2023-02-25 14:56:16,0.262517,0.91536,0.899352,0.766293,142.49,62,10
36,2023-02-25 14:56:45,0.24442,0.920824,0.517688,0.867254,139.95,62,2
37,2023-02-25 14:57:13,0.221082,0.928947,0.912663,0.812634,142.51,62,23
38,2023-02-25 14:57:41,0.16487,0.946339,0.436885,0.877137,141.65,62,19
39,2023-02-25 14:58:09,0.124607,0.959783,0.351228,0.895566,140.10,62,3
40,2023-02-25 14:58:37,0.157355,0.947826,0.626703,0.83961,141.17,62,0
41,2023-02-25 14:59:05,0.178301,0.941762,1.332057,0.736378,140.37,62,4
42,2023-02-25 14:59:33,0.15636,0.947883,0.545566,0.862046,139.99,62,0
43,2023-02-25 15:00:01,0.092576,0.970692,0.775278,0.844818,140.23,62,2
44,2023-02-25 15:00:29,0.10637,0.964551,0.727566,0.836939,142.55,62,19
45,2023-02-25 15:00:57,0.097561,0.968921,0.593058,0.868056,139.51,62,0
46,2023-02-25 15:01:25,0.089553,0.970435,0.733941,0.84664,140.66,62,15
47,2023-02-25 15:01:53,0.115587,0.961928,0.431458,0.880075,139.98,62,0
48,2023-02-25 15:02:21,0.103498,0.966247,0.417113,0.903045,138.82,62,9
49,2023-02-25 15:02:49,0.077571,0.975034,0.428097,0.88515,136.83,62,0
post,2023-02-25 15:02:55,0,0,0,0,113.14,60,0
