epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-28 16:39:50,0,0,0,0,110.54,51,0
0,2023-02-28 16:42:49,5.244571,0.013833,7.08439,0.0144,144.36,54,0
1,2023-02-28 16:45:42,5.182829,0.013633,7.49438,0.0146,144.96,54,17
2,2023-02-28 16:48:34,5.178764,0.013,7.123221,0.0133,140.62,54,0
3,2023-02-28 16:51:26,5.174242,0.0148,6.828484,0.0136,143.06,54,14
4,2023-02-28 16:54:18,5.170141,0.0142,6.80878,0.0133,140.00,54,17
5,2023-02-28 16:57:11,5.172824,0.0149,7.139148,0.0151,142.04,54,8
6,2023-02-28 17:00:02,5.171087,0.014333,6.594431,0.014,139.30,54,0
7,2023-02-28 17:02:54,5.180222,0.014833,6.659245,0.0158,142.68,54,0
8,2023-02-28 17:05:46,5.183403,0.014033,7.325644,0.0156,146.43,55,11
9,2023-02-28 17:08:39,5.182892,0.0135,6.733932,0.0132,139.91,54,0
10,2023-02-28 17:11:30,5.184158,0.013533,7.141767,0.0153,138.15,54,12
11,2023-02-28 17:14:22,5.186631,0.013967,7.134423,0.014,139.16,54,14
12,2023-02-28 17:17:15,5.188711,0.013467,6.468468,0.0132,140.94,54,24
13,2023-02-28 17:20:07,5.177115,0.014433,6.938686,0.0137,143.17,54,0
14,2023-02-28 17:22:59,5.178796,0.0147,7.206691,0.0135,138.27,54,10
15,2023-02-28 17:25:52,5.180644,0.014533,6.895359,0.0117,142.09,54,9
16,2023-02-28 17:28:45,5.192974,0.0131,6.804844,0.0146,139.75,54,0
17,2023-02-28 17:31:37,5.179443,0.014133,6.856628,0.0125,142.99,54,15
18,2023-02-28 17:34:30,5.175453,0.014667,6.784185,0.0149,140.70,54,1
19,2023-02-28 17:37:24,5.18257,0.0145,7.202448,0.0145,141.71,54,2
20,2023-02-28 17:40:16,5.168347,0.0145,6.951237,0.0131,139.13,54,0
21,2023-02-28 17:43:10,5.170607,0.014567,7.514147,0.0142,143.55,54,14
22,2023-02-28 17:46:03,5.176593,0.0149,7.460128,0.0145,142.77,54,3
23,2023-02-28 17:48:56,5.180576,0.0132,6.705228,0.0148,139.56,54,0
24,2023-02-28 17:51:50,5.179115,0.0146,6.898251,0.0131,140.60,54,13
25,2023-02-28 17:54:43,5.185429,0.014,7.435872,0.0156,141.80,54,0
26,2023-02-28 17:57:36,5.177695,0.0155,7.15644,0.0137,140.03,54,0
27,2023-02-28 18:00:29,5.187404,0.014567,7.188498,0.015,139.70,54,10
28,2023-02-28 18:03:21,5.178682,0.013633,7.425138,0.0156,148.90,55,0
29,2023-02-28 18:06:13,5.173105,0.014367,7.0378,0.0133,139.85,54,1
30,2023-02-28 18:09:07,5.18397,0.013233,7.350112,0.0142,146.18,55,11
31,2023-02-28 18:11:59,5.181218,0.0148,7.818619,0.0118,136.83,54,0
32,2023-02-28 18:14:52,5.19234,0.014233,7.609811,0.0132,140.21,54,0
33,2023-02-28 18:17:45,5.182258,0.0141,7.200714,0.0148,139.01,54,0
34,2023-02-28 18:20:38,5.175849,0.012133,7.252082,0.0142,139.60,54,11
35,2023-02-28 18:23:31,5.18946,0.0135,6.767267,0.0127,151.25,55,12
36,2023-02-28 18:26:25,5.181881,0.013433,7.177581,0.0128,140.05,54,0
37,2023-02-28 18:29:17,5.182488,0.013133,7.185303,0.0132,143.26,54,12
38,2023-02-28 18:32:11,5.182797,0.013833,6.960323,0.0157,148.71,54,19
39,2023-02-28 18:35:03,5.163687,0.0127,7.616524,0.0139,138.92,54,0
40,2023-02-28 18:37:57,5.167715,0.0148,6.800556,0.0132,139.18,54,1
41,2023-02-28 18:40:49,5.177524,0.0137,6.780147,0.0117,138.09,54,7
42,2023-02-28 18:43:42,5.181764,0.013267,7.551514,0.0159,139.10,54,7
43,2023-02-28 18:46:35,5.18125,0.013967,6.699476,0.0134,148.00,55,7
44,2023-02-28 18:49:28,5.17545,0.0138,7.64303,0.0143,137.37,54,4
45,2023-02-28 18:52:21,5.182875,0.013567,7.255464,0.0133,138.76,54,0
46,2023-02-28 18:55:14,5.18617,0.0142,7.226516,0.0145,139.01,54,13
47,2023-02-28 18:58:08,5.179093,0.013567,7.307911,0.0127,140.43,54,18
48,2023-02-28 19:01:01,5.191789,0.012933,6.874942,0.0171,144.12,54,13
49,2023-02-28 19:03:54,5.192118,0.0136,7.28429,0.0151,137.49,54,3
post,2023-02-28 19:03:59,0,0,0,0,108.93,52,0
