epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-27 10:28:19,0,0,0,0,108.33,48,0
0,2023-02-27 10:33:03,6.009366,0.010556,10.497055,0.0148,126.78,48,0
1,2023-02-27 10:37:33,5.213998,0.0114,8.552623,0.01,131.35,49,0
2,2023-02-27 10:42:09,4.921216,0.012133,9.26794,0.0096,127.11,49,0
3,2023-02-27 10:46:48,4.784325,0.012844,8.689926,0.01,137.18,50,0
4,2023-02-27 10:51:24,4.707187,0.011778,7.272425,0.0184,147.87,51,0
5,2023-02-27 10:55:58,4.660496,0.013022,8.103505,0.0124,125.24,50,0
6,2023-02-27 11:00:37,4.628695,0.012044,6.555789,0.0172,131.44,49,0
7,2023-02-27 11:05:11,4.609167,0.0138,6.349222,0.0124,127.74,48,0
8,2023-02-27 11:09:52,4.597977,0.0138,7.324177,0.0108,131.10,47,0
9,2023-02-27 11:14:26,4.586733,0.014733,7.156059,0.012,132.29,47,4
10,2023-02-27 11:19:04,4.583303,0.015067,7.024852,0.0056,128.09,46,0
11,2023-02-27 11:23:44,4.57724,0.016067,7.60047,0.0104,127.93,46,1
12,2023-02-27 11:28:22,4.577083,0.015222,7.439695,0.0096,129.06,47,0
13,2023-02-27 11:33:00,4.57457,0.015756,7.162851,0.0116,130.92,47,0
14,2023-02-27 11:37:38,4.573425,0.016711,7.343661,0.0112,129.47,48,0
15,2023-02-27 11:42:16,4.571868,0.016289,7.517145,0.0124,129.73,49,0
16,2023-02-27 11:46:56,4.569773,0.0178,6.467653,0.0152,129.95,48,0
17,2023-02-27 11:51:31,4.570082,0.016556,7.572116,0.0092,126.68,49,0
18,2023-02-27 11:56:20,4.569683,0.017244,7.332231,0.0116,130.84,48,0
19,2023-02-27 12:01:39,4.57087,0.016911,7.235599,0.0112,124.82,49,0
20,2023-02-27 12:06:15,4.569992,0.016489,7.544712,0.0124,126.16,49,0
21,2023-02-27 12:10:51,4.569636,0.017489,7.938448,0.0088,123.80,49,0
22,2023-02-27 12:15:31,4.570173,0.016844,8.117867,0.0124,124.74,49,0
23,2023-02-27 12:20:10,4.569335,0.017356,8.374816,0.0128,130.90,50,0
24,2023-02-27 12:24:48,4.570958,0.017311,6.636335,0.0124,136.94,50,0
25,2023-02-27 12:29:28,4.570698,0.016867,6.902602,0.01,139.05,51,0
26,2023-02-27 12:34:09,4.569805,0.017356,6.923652,0.0116,126.37,49,0
27,2023-02-27 12:38:47,4.568503,0.017444,8.407026,0.0112,126.51,50,0
28,2023-02-27 12:43:23,4.569404,0.016911,9.247397,0.0096,124.04,49,0
29,2023-02-27 12:48:00,4.569726,0.016644,7.921658,0.0136,128.50,51,0
30,2023-02-27 12:52:44,4.568217,0.018044,7.285144,0.012,128.48,49,0
31,2023-02-27 12:57:23,4.570777,0.017511,7.833288,0.0116,130.32,50,0
32,2023-02-27 13:01:53,4.570212,0.016467,8.135963,0.0128,130.03,51,0
33,2023-02-27 13:06:28,4.568967,0.017667,7.078691,0.014,129.96,50,0
34,2023-02-27 13:11:03,4.571801,0.017178,7.103377,0.0164,129.50,50,0
35,2023-02-27 13:15:39,4.570534,0.016822,7.141562,0.0148,130.49,49,0
36,2023-02-27 13:20:19,4.57012,0.016244,8.031392,0.0088,129.99,49,0
37,2023-02-27 13:25:00,4.570881,0.016178,7.603605,0.0152,126.99,50,0
38,2023-02-27 13:29:41,4.569706,0.017333,7.409909,0.0112,129.42,50,0
39,2023-02-27 13:34:17,4.570742,0.016711,7.755241,0.0156,137.37,50,0
40,2023-02-27 13:38:54,4.570296,0.0176,6.954355,0.0096,128.63,50,0
41,2023-02-27 13:43:33,4.569626,0.017489,7.655378,0.014,128.45,50,0
42,2023-02-27 13:48:08,4.569307,0.017022,7.575125,0.0104,127.59,50,0
43,2023-02-27 13:52:47,4.570323,0.0172,7.156018,0.0152,123.71,49,0
44,2023-02-27 13:57:27,4.569465,0.017333,7.014564,0.0128,129.77,50,0
45,2023-02-27 14:02:02,4.570076,0.016756,7.300506,0.014,127.47,50,0
46,2023-02-27 14:06:37,4.569815,0.0164,6.937706,0.0116,130.47,50,0
47,2023-02-27 14:11:18,4.570557,0.016067,7.003837,0.0096,129.48,49,0
48,2023-02-27 14:15:55,4.571263,0.0168,7.126423,0.0148,127.45,50,0
49,2023-02-27 14:20:30,4.568554,0.016822,7.312382,0.0092,129.01,50,0
post,2023-02-27 14:20:36,0,0,0,0,107.40,49,0
