epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-03-02 12:30:47,0,0,0,0,104.42,41,0
0,2023-03-02 12:32:03,5.427953,0.019394,4.718535,0.009348,162.22,46,8
1,2023-03-02 12:32:23,4.140821,0.049971,4.85299,0.010951,165.52,49,0
2,2023-03-02 12:32:43,3.913802,0.088759,4.925384,0.00828,165.95,50,0
3,2023-03-02 12:33:02,3.786355,0.10841,4.752128,0.018029,174.90,52,0
4,2023-03-02 12:33:21,3.693618,0.124428,4.574088,0.026843,173.09,52,0
5,2023-03-02 12:33:41,3.634803,0.138158,4.384418,0.04781,172.06,53,0
6,2023-03-02 12:34:01,3.541534,0.151859,4.268721,0.041667,164.68,53,0
7,2023-03-02 12:34:21,3.467039,0.16516,4.755718,0.028045,170.06,53,0
8,2023-03-02 12:34:40,3.413725,0.17766,4.40388,0.051149,176.45,54,0
9,2023-03-02 12:35:00,3.356366,0.186842,4.354125,0.038194,176.50,54,0
10,2023-03-02 12:35:20,3.310764,0.196424,4.429637,0.036725,170.56,55,0
11,2023-03-02 12:35:39,3.267193,0.204662,4.098345,0.070246,166.85,55,0
12,2023-03-02 12:35:59,3.248402,0.208924,4.042156,0.064236,173.30,55,3
13,2023-03-02 12:36:19,3.225957,0.215122,4.092635,0.08774,175.81,55,0
14,2023-03-02 12:36:39,3.204646,0.21722,4.762445,0.039663,176.35,55,0
15,2023-03-02 12:36:59,3.192622,0.220464,4.51116,0.038194,168.74,55,0
16,2023-03-02 12:37:20,3.183621,0.223455,4.194811,0.075672,140.18,53,0
17,2023-03-02 12:37:40,3.167627,0.226373,4.319439,0.057258,168.53,55,0
18,2023-03-02 12:38:00,3.167745,0.227577,4.241457,0.061165,171.41,55,0
19,2023-03-02 12:38:20,3.163218,0.228032,4.384325,0.058226,170.56,55,0
20,2023-03-02 12:38:40,3.158715,0.228148,4.051283,0.077823,170.09,55,0
21,2023-03-02 12:38:59,3.153343,0.22632,5.114989,0.014651,173.76,56,0
22,2023-03-02 12:39:20,3.151837,0.232551,4.650009,0.047543,169.77,55,0
23,2023-03-02 12:39:39,3.15873,0.230149,4.212402,0.049679,174.36,56,0
24,2023-03-02 12:39:59,3.156791,0.234125,4.068171,0.083467,171.65,55,0
25,2023-03-02 12:40:19,3.152569,0.231522,4.259629,0.073184,173.55,56,0
26,2023-03-02 12:40:39,3.146107,0.232094,4.383092,0.042735,171.55,56,0
27,2023-03-02 12:40:59,3.144404,0.229605,4.91548,0.019097,174.51,56,0
28,2023-03-02 12:41:18,3.138586,0.232323,4.571058,0.033787,171.31,56,0
29,2023-03-02 12:41:38,3.147611,0.232122,4.618577,0.034322,173.78,56,0
30,2023-03-02 12:41:58,3.144415,0.231865,4.304187,0.061699,173.15,56,0
31,2023-03-02 12:42:18,3.1318,0.231522,4.561553,0.020032,172.26,56,0
32,2023-03-02 12:42:37,3.144128,0.22972,4.738744,0.030914,170.49,56,0
33,2023-03-02 12:42:57,3.148096,0.230177,4.981556,0.021501,171.32,56,0
34,2023-03-02 12:43:17,3.158688,0.229348,4.612541,0.038328,171.34,56,0
35,2023-03-02 12:43:37,3.145885,0.233524,4.773934,0.023237,167.91,55,0
36,2023-03-02 12:43:57,3.14668,0.230864,4.312776,0.055556,166.42,55,0
37,2023-03-02 12:44:18,3.138037,0.233982,5.157803,0.032986,169.54,55,0
38,2023-03-02 12:44:37,3.133746,0.233724,4.780479,0.028045,170.04,55,0
39,2023-03-02 12:44:57,3.146843,0.23155,4.676787,0.019631,174.35,56,0
40,2023-03-02 12:45:17,3.147844,0.232265,4.882934,0.03125,174.79,55,0
41,2023-03-02 12:45:37,3.145673,0.235326,4.397059,0.05235,175.82,56,0
42,2023-03-02 12:45:56,3.140936,0.233553,4.831052,0.021368,172.95,55,0
43,2023-03-02 12:46:16,3.147461,0.229376,4.856936,0.026175,161.73,54,0
44,2023-03-02 12:46:37,3.142379,0.23069,4.797753,0.025641,170.13,55,0
45,2023-03-02 12:46:57,3.139249,0.232318,4.86614,0.01883,169.30,55,0
46,2023-03-02 12:47:17,3.128906,0.233832,4.476895,0.042876,176.20,55,0
47,2023-03-02 12:47:37,3.138448,0.233095,5.168299,0.020032,172.82,55,0
48,2023-03-02 12:47:57,3.135352,0.231093,5.107049,0.013488,174.81,55,0
49,2023-03-02 12:48:17,3.140892,0.233318,4.769868,0.025775,154.51,53,0
post,2023-03-02 12:48:23,0,0,0,0,108.40,50,0
