epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-03-01 04:46:31,0,0,0,0,106.84,45,0
0,2023-03-01 04:50:19,nan,0.009914,nan,0.012267,124.61,45,6
1,2023-03-01 04:53:59,nan,0.01,nan,0.0116,124.53,45,25
2,2023-03-01 04:57:41,nan,0.009657,nan,0.011733,124.88,45,14
3,2023-03-01 05:01:22,nan,0.009914,nan,0.010933,123.93,45,13
4,2023-03-01 05:05:01,nan,0.010029,nan,0.012667,123.34,44,18
5,2023-03-01 05:08:42,nan,0.009743,nan,0.012133,123.66,44,8
6,2023-03-01 05:12:22,nan,0.009829,nan,0.010133,124.04,44,24
7,2023-03-01 05:16:03,nan,0.009771,nan,0.010533,123.30,44,11
8,2023-03-01 05:19:44,nan,0.009686,nan,0.011333,122.35,44,8
9,2023-03-01 05:23:24,nan,0.009743,nan,0.012,122.06,43,15
10,2023-03-01 05:27:04,nan,0.0098,nan,0.0116,122.84,43,10
11,2023-03-01 05:30:45,nan,0.009771,nan,0.0116,122.51,43,13
12,2023-03-01 05:34:26,nan,0.009571,nan,0.010667,122.12,44,17
13,2023-03-01 05:38:07,nan,0.009743,nan,0.0116,121.68,44,16
14,2023-03-01 05:41:47,nan,0.009886,nan,0.011067,123.48,44,22
15,2023-03-01 05:45:28,nan,0.009914,nan,0.011333,123.95,45,19
16,2023-03-01 05:49:08,nan,0.010057,nan,0.0116,124.46,45,6
17,2023-03-01 05:52:49,nan,0.009714,nan,0.012533,123.25,45,14
18,2023-03-01 05:56:30,nan,0.009771,nan,0.0124,123.47,45,26
19,2023-03-01 06:00:11,nan,0.009829,nan,0.0116,122.76,45,14
20,2023-03-01 06:03:52,nan,0.009743,nan,0.011067,121.77,44,17
21,2023-03-01 06:07:33,nan,0.0098,nan,0.0128,122.40,44,13
22,2023-03-01 06:11:15,nan,0.0098,nan,0.0124,123.05,44,23
23,2023-03-01 06:14:56,nan,0.009829,nan,0.010133,122.61,43,10
24,2023-03-01 06:18:38,nan,0.009829,nan,0.011467,122.81,43,23
25,2023-03-01 06:22:19,nan,0.009857,nan,0.009733,123.07,43,22
26,2023-03-01 06:26:00,nan,0.01,nan,0.0104,122.70,43,18
27,2023-03-01 06:29:41,nan,0.009857,nan,0.011467,124.30,43,12
28,2023-03-01 06:33:23,nan,0.009686,nan,0.011333,123.54,44,2
29,2023-03-01 06:37:05,nan,0.009743,nan,0.012267,122.72,44,18
30,2023-03-01 06:40:48,nan,0.009914,nan,0.010267,120.60,45,0
31,2023-03-01 06:44:28,nan,0.009771,nan,0.011467,122.78,45,1
32,2023-03-01 06:48:10,nan,0.009829,nan,0.0104,123.64,45,24
33,2023-03-01 06:51:52,nan,0.009743,nan,0.011867,121.95,45,6
34,2023-03-01 06:55:34,nan,0.009914,nan,0.0112,122.28,45,18
35,2023-03-01 06:59:16,nan,0.009714,nan,0.0116,122.72,45,2
36,2023-03-01 07:02:58,nan,0.009857,nan,0.012933,122.33,44,3
37,2023-03-01 07:06:39,nan,0.010086,nan,0.0124,121.58,44,15
38,2023-03-01 07:10:20,nan,0.009914,nan,0.012133,122.60,44,6
39,2023-03-01 07:14:02,nan,0.009943,nan,0.012267,123.17,44,20
40,2023-03-01 07:17:43,nan,0.009686,nan,0.012267,121.88,43,11
41,2023-03-01 07:21:24,nan,0.009771,nan,0.012267,120.25,43,10
42,2023-03-01 07:25:05,nan,0.009943,nan,0.012533,121.23,43,1
43,2023-03-01 07:28:47,nan,0.009914,nan,0.012667,121.91,43,8
44,2023-03-01 07:32:28,nan,0.009886,nan,0.012267,122.85,44,21
45,2023-03-01 07:36:10,nan,0.009743,nan,0.011733,122.40,44,15
46,2023-03-01 07:39:51,nan,0.009686,nan,0.0112,123.97,44,4
47,2023-03-01 07:43:33,nan,0.009743,nan,0.010933,123.74,44,9
48,2023-03-01 07:47:15,nan,0.009743,nan,0.012133,123.70,45,14
49,2023-03-01 07:50:57,nan,0.009829,nan,0.0112,122.02,45,1
post,2023-03-01 07:51:02,0,0,0,0,106.03,44,0
