epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-27 10:13:13,0,0,0,0,106.86,47,0
0,2023-02-27 10:13:40,5.176978,0.015316,4.981446,0.022536,185.29,52,0
1,2023-02-27 10:13:57,4.655718,0.029198,4.621795,0.041066,183.40,53,0
2,2023-02-27 10:14:15,4.465605,0.045176,4.428061,0.052784,153.47,52,0
3,2023-02-27 10:14:32,4.367261,0.055025,4.328982,0.064603,140.10,51,0
4,2023-02-27 10:14:51,4.308954,0.063735,4.266984,0.069411,152.87,52,0
5,2023-02-27 10:15:08,4.268205,0.069875,4.235829,0.082833,187.14,55,0
6,2023-02-27 10:15:24,4.227448,0.079919,4.193814,0.085537,165.36,54,0
7,2023-02-27 10:15:42,4.207845,0.081053,4.16835,0.088969,176.12,55,0
8,2023-02-27 10:15:59,4.184977,0.084288,4.129291,0.099459,153.44,54,0
9,2023-02-27 10:16:17,4.147417,0.0939,4.12912,0.105569,143.87,53,0
10,2023-02-27 10:16:34,4.125893,0.096515,4.079022,0.109575,156.22,54,0
11,2023-02-27 10:16:52,4.104851,0.099339,4.072157,0.107071,193.62,56,0
12,2023-02-27 10:17:10,4.084143,0.105479,4.054973,0.109075,139.61,53,0
13,2023-02-27 10:17:27,4.063962,0.106743,3.996019,0.124597,149.69,54,0
14,2023-02-27 10:17:45,4.05089,0.111619,4.013969,0.118389,153.84,54,0
15,2023-02-27 10:18:02,4.029332,0.113173,3.963765,0.125705,195.76,56,0
16,2023-02-27 10:18:20,4.013623,0.116791,3.953711,0.130909,154.17,54,0
17,2023-02-27 10:18:37,4.005847,0.115557,3.933283,0.136619,144.01,54,0
18,2023-02-27 10:18:55,3.972844,0.123201,3.919025,0.136719,180.74,56,0
19,2023-02-27 10:19:12,3.959807,0.124867,3.908306,0.139523,164.10,55,0
20,2023-02-27 10:19:30,3.957607,0.126732,3.896309,0.140097,162.36,55,0
21,2023-02-27 10:19:47,3.943415,0.130231,3.875757,0.149859,151.07,54,0
22,2023-02-27 10:20:04,3.923843,0.132441,3.873002,0.149539,153.45,54,0
23,2023-02-27 10:20:22,3.910579,0.139816,3.871369,0.147746,167.11,55,0
24,2023-02-27 10:20:39,3.911165,0.136112,3.840386,0.154347,142.85,53,0
25,2023-02-27 10:20:56,3.88737,0.141518,3.827104,0.157652,144.95,53,0
26,2023-02-27 10:21:13,3.866524,0.144888,3.829847,0.155749,188.86,56,0
27,2023-02-27 10:21:31,3.864254,0.149826,3.806681,0.155048,151.58,54,0
28,2023-02-27 10:21:48,3.852628,0.149793,3.773631,0.168269,183.59,56,0
29,2023-02-27 10:22:04,3.83762,0.152863,3.761064,0.173478,157.37,54,0
30,2023-02-27 10:22:22,3.827756,0.151795,3.761075,0.174279,149.89,54,0
31,2023-02-27 10:22:39,3.811123,0.1567,3.776386,0.171174,149.01,54,0
32,2023-02-27 10:22:56,3.79881,0.163241,3.751265,0.178341,160.59,55,0
33,2023-02-27 10:23:14,3.791758,0.160538,3.739968,0.184796,142.89,53,0
34,2023-02-27 10:23:31,3.790112,0.160805,3.700002,0.183393,178.04,56,0
35,2023-02-27 10:23:50,3.777084,0.167746,3.697747,0.184095,140.77,53,0
36,2023-02-27 10:24:07,3.763924,0.168413,3.691251,0.189904,182.90,56,0
37,2023-02-27 10:24:25,3.761858,0.170816,3.69764,0.189804,146.80,53,0
38,2023-02-27 10:24:43,3.73447,0.173919,3.658051,0.189904,171.61,55,0
39,2023-02-27 10:25:00,3.737305,0.176588,3.688517,0.180088,139.41,53,0
40,2023-02-27 10:25:18,3.724099,0.177956,3.65783,0.198317,149.67,54,0
41,2023-02-27 10:25:35,3.712824,0.176922,3.653749,0.198317,140.58,53,0
42,2023-02-27 10:25:53,3.708899,0.179024,3.634162,0.201623,147.40,53,0
43,2023-02-27 10:26:11,3.687694,0.186501,3.630852,0.199577,145.39,53,0
44,2023-02-27 10:26:28,3.682896,0.183602,3.608143,0.199119,154.11,54,0
45,2023-02-27 10:26:45,3.674927,0.191031,3.588286,0.217248,138.91,53,0
46,2023-02-27 10:27:02,3.672017,0.188066,3.62068,0.208535,194.82,56,0
47,2023-02-27 10:27:20,3.662812,0.189199,3.606463,0.203926,144.18,53,0
48,2023-02-27 10:27:36,3.650309,0.194507,3.582044,0.21274,186.74,56,0
49,2023-02-27 10:27:54,3.645566,0.19443,3.592808,0.206931,141.94,53,0
post,2023-02-27 10:27:59,0,0,0,0,108.63,51,0
