epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-03-23 20:16:42,0,0,0,0,111.30,45,0
0,2023-03-23 20:18:14,6.115678,0.01748,inf,0.008929,116.00,49,0
1,2023-03-23 20:18:16,5.644067,0.028798,51.781254,0.018973,185.25,51,6
2,2023-03-23 20:18:17,5.669957,0.049673,15.126117,0.023438,191.81,52,6
3,2023-03-23 20:18:19,5.029914,0.053823,4.571987,0.02567,181.50,52,6
4,2023-03-23 20:18:21,4.840216,0.077877,6.001116,0.043527,194.72,53,6
5,2023-03-23 20:18:23,4.840278,0.086434,4.431362,0.072545,184.57,53,6
6,2023-03-23 20:18:25,4.564583,0.088531,4.492188,0.0625,190.88,53,0
7,2023-03-23 20:18:27,4.515798,0.095573,4.351005,0.071429,186.35,53,2
8,2023-03-23 20:18:30,4.43221,0.126383,4.113202,0.058673,129.08,51,1
9,2023-03-23 20:18:32,4.410431,0.132042,4.229353,0.142857,187.57,53,6
10,2023-03-23 20:18:34,4.251462,0.144743,7.939454,0.121652,189.04,53,4
11,2023-03-23 20:18:36,4.334546,0.128898,16.044323,0.119898,194.90,54,0
12,2023-03-23 20:18:38,4.18843,0.163814,8.961217,0.167411,167.46,52,0
13,2023-03-23 20:18:40,4.223835,0.171529,14.175224,0.145089,167.31,53,0
14,2023-03-23 20:18:42,3.984249,0.193662,9.763831,0.145408,191.02,54,6
15,2023-03-23 20:18:43,3.931362,0.219246,9.67634,0.202009,196.83,54,6
16,2023-03-23 20:18:45,3.803045,0.24082,175.035721,0.0625,191.07,54,0
17,2023-03-23 20:18:47,4.565699,0.079351,51.75893,0.023438,193.06,54,6
18,2023-03-23 20:18:49,4.45325,0.114437,6.857143,0.087054,193.32,54,4
19,2023-03-23 20:18:51,4.363658,0.130156,21.078125,0.079241,194.62,55,0
20,2023-03-23 20:18:53,4.25914,0.139713,3.937779,0.157366,195.61,55,6
21,2023-03-23 20:18:54,3.992064,0.169271,4.097936,0.143973,188.16,55,0
22,2023-03-23 20:18:56,3.823527,0.19253,3.66183,0.179688,189.01,55,5
23,2023-03-23 20:18:58,3.767299,0.220486,3.748884,0.208705,188.26,55,6
24,2023-03-23 20:19:00,3.661579,0.228873,4.334543,0.248884,195.64,55,6
25,2023-03-23 20:19:02,3.556904,0.255156,3.517379,0.248724,188.31,55,0
26,2023-03-23 20:19:04,3.458658,0.269115,4.936384,0.252232,195.58,55,6
27,2023-03-23 20:19:06,3.383732,0.291247,5.047712,0.252232,190.26,55,6
28,2023-03-23 20:19:07,3.304837,0.315141,3.89764,0.32398,184.44,55,6
29,2023-03-23 20:19:09,3.133378,0.334884,3.154855,0.367188,189.32,55,5
30,2023-03-23 20:19:11,3.067676,0.360287,4.780413,0.357143,191.70,55,3
31,2023-03-23 20:19:13,3.033734,0.388456,3.250558,0.363839,195.62,56,6
32,2023-03-23 20:19:15,3.020042,0.393109,3.811862,0.320153,178.12,54,6
33,2023-03-23 20:19:17,2.727568,0.439135,4.005301,0.310268,164.23,54,6
34,2023-03-23 20:19:19,2.792583,0.416625,3.11942,0.456473,195.19,55,6
35,2023-03-23 20:19:20,2.564622,0.488053,2.981027,0.504464,195.98,56,6
36,2023-03-23 20:19:22,2.302444,0.542882,3.371652,0.487723,193.98,56,0
37,2023-03-23 20:19:24,2.307069,0.544266,4.697545,0.459821,200.10,56,0
38,2023-03-23 20:19:26,2.276471,0.548038,4.180246,0.569196,192.69,56,6
39,2023-03-23 20:19:28,2.062314,0.610367,1.890904,0.631696,191.44,56,5
40,2023-03-23 20:19:29,2.056554,0.619844,5.455397,0.630102,195.23,56,0
41,2023-03-23 20:19:31,1.917874,0.66914,3.908761,0.563616,194.85,56,6
42,2023-03-23 20:19:33,1.862857,0.660714,2.93192,0.671875,193.25,56,0
43,2023-03-23 20:19:35,1.738359,0.704365,2.897461,0.686384,184.35,55,0
44,2023-03-23 20:19:37,1.797091,0.693788,2.519252,0.733259,182.18,56,6
45,2023-03-23 20:19:39,1.573475,0.750372,2.925921,0.72433,191.75,56,0
46,2023-03-23 20:19:40,1.610931,0.747108,2.418806,0.777902,193.85,56,6
47,2023-03-23 20:19:42,1.477849,0.782986,1.867188,0.787946,195.93,56,6
48,2023-03-23 20:19:44,1.428049,0.796906,1.948103,0.796875,193.97,56,0
49,2023-03-23 20:19:46,1.589007,0.769492,3.803851,0.779018,187.48,56,5
post,2023-03-23 20:19:51,0,0,0,0,117.90,53,0
