epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-03-02 07:03:42,0,0,0,0,105.05,42,0
0,2023-03-02 07:04:46,4.924479,0.059247,5773.36377,0.01398,115.54,43,0
1,2023-03-02 07:04:58,4.449955,0.095041,24.147299,0.030839,142.31,48,0
2,2023-03-02 07:05:11,4.320793,0.103743,4.473454,0.063734,142.97,49,0
3,2023-03-02 07:05:23,4.051386,0.132197,12.226357,0.113076,146.33,51,0
4,2023-03-02 07:05:36,3.809467,0.172259,3.85243,0.127467,145.11,51,0
5,2023-03-02 07:05:49,3.697344,0.200022,13.210427,0.212171,145.35,52,0
6,2023-03-02 07:06:02,3.552272,0.228275,3.763398,0.232319,145.34,53,0
7,2023-03-02 07:06:15,3.497665,0.237545,3.868771,0.231497,145.18,53,0
8,2023-03-02 07:06:28,3.350587,0.267803,3.269156,0.249178,144.27,53,0
9,2023-03-02 07:06:40,3.313018,0.26934,17.836227,0.20847,146.31,54,0
10,2023-03-02 07:06:52,3.166399,0.294875,3.135499,0.310855,142.69,54,0
11,2023-03-02 07:07:05,2.965039,0.336542,5.237375,0.356497,145.57,55,0
12,2023-03-02 07:07:18,2.825656,0.369586,2.862106,0.371299,145.91,55,0
13,2023-03-02 07:07:30,2.76973,0.387731,3.193827,0.389391,146.60,55,0
14,2023-03-02 07:07:43,2.59893,0.419452,5.497662,0.359786,149.50,56,0
15,2023-03-02 07:07:56,2.512173,0.444808,2.86176,0.448602,150.89,56,0
16,2023-03-02 07:08:08,2.442998,0.465352,3.793188,0.401727,150.60,56,0
17,2023-03-02 07:08:21,2.319805,0.49082,2.985541,0.519326,147.89,56,0
18,2023-03-02 07:08:34,2.223425,0.519586,2.658017,0.464227,146.24,55,0
19,2023-03-02 07:08:47,2.205634,0.528832,2.280005,0.581826,146.06,55,0
20,2023-03-02 07:08:59,2.111688,0.555214,2.277463,0.59375,148.10,56,0
21,2023-03-02 07:09:12,1.981338,0.589438,1.874533,0.629112,149.04,56,0
22,2023-03-02 07:09:25,1.860877,0.621903,2.165162,0.644326,149.24,56,0
23,2023-03-02 07:09:38,1.77994,0.653387,2.483997,0.674342,147.34,56,0
24,2023-03-02 07:09:51,1.7126,0.675201,2.003236,0.703536,147.97,56,0
25,2023-03-02 07:10:03,1.637929,0.698284,1.647509,0.73273,151.54,57,0
26,2023-03-02 07:10:16,1.594958,0.717803,2.717331,0.749589,151.72,57,0
27,2023-03-02 07:10:28,1.547969,0.731061,2.522704,0.746711,151.46,57,0
28,2023-03-02 07:10:41,1.527235,0.740842,1.385109,0.785773,151.31,57,0
29,2023-03-02 07:10:53,1.443906,0.759403,1.518486,0.777549,148.17,57,0
30,2023-03-02 07:11:06,1.424236,0.774354,3.061074,0.759868,149.01,57,0
31,2023-03-02 07:11:19,1.376013,0.786364,7.251958,0.809211,149.47,56,0
32,2023-03-02 07:11:32,1.295725,0.812455,1.619863,0.808388,149.14,56,0
33,2023-03-02 07:11:44,1.268722,0.818627,1.322669,0.85403,144.98,56,0
34,2023-03-02 07:11:57,1.224426,0.833779,2.170538,0.820724,149.47,56,0
35,2023-03-02 07:12:10,1.185638,0.844719,1.619718,0.855263,148.82,56,0
36,2023-03-02 07:12:23,1.166495,0.852496,2.436299,0.852796,150.54,57,0
37,2023-03-02 07:12:36,1.132902,0.862946,1.498973,0.873766,146.71,56,0
38,2023-03-02 07:12:49,1.130871,0.864817,2.216224,0.807155,146.65,56,0
39,2023-03-02 07:13:01,1.113119,0.869385,2.57722,0.82648,147.00,56,0
40,2023-03-02 07:13:14,1.103974,0.868962,2.299681,0.883224,151.29,57,0
41,2023-03-02 07:13:27,1.112247,0.868717,1.313292,0.899671,151.11,57,0
42,2023-03-02 07:13:39,1.076593,0.878944,1.704992,0.890625,147.30,56,0
43,2023-03-02 07:13:52,1.062443,0.883578,5.821692,0.88898,148.02,56,0
44,2023-03-02 07:14:05,1.046435,0.884126,2.627723,0.895148,146.91,56,0
45,2023-03-02 07:14:18,1.027941,0.888881,3.391199,0.88199,146.52,56,0
46,2023-03-02 07:14:30,1.024513,0.89111,2.184715,0.857319,145.73,56,0
47,2023-03-02 07:14:44,1.021407,0.890113,1.480753,0.897615,144.09,56,0
48,2023-03-02 07:14:56,1.002,0.893964,1.482071,0.891036,145.04,56,0
49,2023-03-02 07:15:09,0.996841,0.896145,1.812866,0.817023,145.45,56,0
post,2023-03-02 07:15:14,0,0,0,0,110.24,52,0
