epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-25 19:30:58,0,0,0,0,114.25,61,0
0,2023-02-25 19:32:21,5.337632,0.016156,5.097898,0.015825,124.20,57,0
1,2023-02-25 19:33:27,4.345933,0.03634,4.758447,0.039663,127.05,61,0
2,2023-02-25 19:34:31,4.204153,0.052071,4.1351,0.067508,131.42,63,3
3,2023-02-25 19:35:35,4.079529,0.074155,4.049133,0.082195,131.81,64,5
4,2023-02-25 19:36:40,4.020299,0.08746,5.753354,0.09395,131.11,62,4
5,2023-02-25 19:37:44,3.947225,0.098464,4.181953,0.110129,130.02,62,0
6,2023-02-25 19:38:50,3.957657,0.098925,4.30866,0.104567,128.91,62,0
7,2023-02-25 19:39:57,3.871978,0.11307,4.886747,0.114183,129.70,63,0
8,2023-02-25 19:41:01,3.752626,0.133178,4.732294,0.150723,129.08,63,6
9,2023-02-25 19:42:05,3.660858,0.153325,4.33047,0.172476,129.66,63,2
10,2023-02-25 19:43:09,3.667802,0.156087,19.852692,0.175881,130.46,63,0
11,2023-02-25 19:44:16,3.57145,0.176821,7.691381,0.194511,130.18,62,2
12,2023-02-25 19:45:20,3.477797,0.19923,22.857363,0.224559,131.80,63,0
13,2023-02-25 19:46:24,3.432854,0.204257,2745.674561,0.133013,131.77,63,0
14,2023-02-25 19:47:28,3.401002,0.214361,87.003242,0.246394,130.27,63,0
15,2023-02-25 19:48:32,3.369475,0.221013,22.271475,0.255208,130.57,63,2
16,2023-02-25 19:49:35,3.306538,0.23737,3.192931,0.26262,130.06,63,2
17,2023-02-25 19:50:39,3.257627,0.251551,19.572599,0.271704,130.61,63,1
18,2023-02-25 19:51:42,3.163966,0.271734,67.15947,0.297676,130.01,63,1
19,2023-02-25 19:52:44,3.09308,0.285664,115.755836,0.304087,128.93,63,0
20,2023-02-25 19:53:48,3.078657,0.290525,123.839294,0.333133,129.48,63,0
21,2023-02-25 19:54:52,2.996286,0.3086,311.300598,0.346354,129.68,63,0
22,2023-02-25 19:55:57,2.951106,0.32165,634.977966,0.373197,131.50,63,6
23,2023-02-25 19:57:00,2.897039,0.335034,618.185669,0.364383,129.41,63,0
24,2023-02-25 19:58:04,3.127686,0.286075,674.211243,0.301082,130.59,63,5
25,2023-02-25 19:59:10,3.161677,0.27495,2107.898926,0.28746,129.21,62,0
26,2023-02-25 20:00:14,3.040636,0.298419,2195.496582,0.327724,129.15,63,0
27,2023-02-25 20:01:17,2.996429,0.307648,1093.87793,0.309495,129.28,63,0
28,2023-02-25 20:02:20,2.944941,0.321825,449.446167,0.324119,130.49,63,3
29,2023-02-25 20:03:23,2.980441,0.31245,1623.249146,0.328926,129.76,62,0
30,2023-02-25 20:04:27,2.965153,0.315901,5563.267578,0.338542,128.36,62,0
31,2023-02-25 20:05:30,2.937856,0.323729,1253.023071,0.351362,130.82,63,0
32,2023-02-25 20:06:34,2.932161,0.32588,4264.580078,0.339343,130.56,63,3
33,2023-02-25 20:07:38,2.986411,0.311575,1996.389771,0.342949,130.24,63,0
34,2023-02-25 20:08:41,2.937683,0.320228,2707.303223,0.351688,130.41,63,1
35,2023-02-25 20:09:44,2.869364,0.340536,6236.788086,0.363782,129.33,63,0
36,2023-02-25 20:10:49,2.850911,0.344188,5601.80127,0.383213,126.63,63,0
37,2023-02-25 20:11:54,2.836564,0.348264,898.82489,0.389423,131.49,63,5
38,2023-02-25 20:12:59,2.806294,0.354625,453.115143,0.377211,128.02,63,0
39,2023-02-25 20:14:04,2.77668,0.36367,801.183044,0.397307,129.30,62,0
40,2023-02-25 20:15:08,2.710681,0.375975,1103.378296,0.403446,129.86,63,0
41,2023-02-25 20:16:14,2.684421,0.381225,1003.161865,0.427083,130.48,63,0
42,2023-02-25 20:17:18,2.676899,0.386555,307.991241,0.425481,130.22,63,0
43,2023-02-25 20:18:24,2.667455,0.392132,282.9133,0.417203,129.13,63,0
44,2023-02-25 20:19:29,2.671435,0.389356,124.860817,0.430064,128.69,63,0
45,2023-02-25 20:20:34,2.606495,0.402661,143.396667,0.442107,129.41,63,0
46,2023-02-25 20:21:40,2.57325,0.4117,174.978378,0.445539,130.60,63,0
47,2023-02-25 20:22:43,2.589385,0.408313,144.014404,0.455929,128.75,63,0
48,2023-02-25 20:23:48,2.545667,0.421944,515.459351,0.466346,131.13,63,0
49,2023-02-25 20:24:51,2.513557,0.426671,755.763245,0.461939,129.78,63,2
post,2023-02-25 20:24:57,0,0,0,0,114.55,61,0
