epoch,timestamp,accuracy,loss,val_accuracy,val_loss
0,2022-12-04 16:43:43,0.1599999964237213,2.283015251159668,0.1932000070810318,2.2453927993774414
1,2022-12-04 16:43:47,0.24833333492279053,2.1945693492889404,0.2290000021457672,2.2130885124206543
2,2022-12-04 16:43:52,0.351666659116745,2.106111764907837,0.26660001277923584,2.1807186603546143
3,2022-12-04 16:43:57,0.4116666615009308,2.044217824935913,0.311599999666214,2.13793683052063
4,2022-12-04 16:44:02,0.5133333206176758,1.951650619506836,0.35670000314712524,2.0966312885284424
5,2022-12-04 16:44:06,0.5699999928474426,1.8917582035064697,0.3799000084400177,2.075021505355835
6,2022-12-04 16:44:11,0.596666693687439,1.8647713661193848,0.396699994802475,2.0593860149383545
7,2022-12-04 16:44:16,0.6483333110809326,1.815093994140625,0.41999998688697815,2.0365586280822754
8,2022-12-04 16:44:20,0.6816666722297668,1.7806512117385864,0.4375,2.0180552005767822
9,2022-12-04 16:44:25,0.6966666579246521,1.7673524618148804,0.45419999957084656,2.0015604496002197
