run,model,preprocessing,augmentation,precision,batch_size,partitioning,lr,lr_schedule,optimizer_momentum,optimizer,internal,n_parameters,test_accuracy,last_accuracy,last_val_accuracy,avg_gpu_power_watts
042,resnet50,minmax,None,float32,128,60-20-20,0.0008,cosine,0.9,RMSProp,jit_compilation,23792612,0.097,0.096776,0.099058,189.29826923076928
043,resnet50,minmax,random,float32,128,70-15-15,0.00015,constant,0.9,Adam,None,23792612,0.825,0.94283,0.823006,190.68173076923074
044,resnet50,minmax,mixup,global_policy_float16,4,80-10-10,0.00625,polynomial,0.9,Adam,jit_compilation,23792612,0.183,0.247575,0.1914,111.90538461538459
045,resnet50,robust_scaling,random,global_policy_float16,4,80-10-10,0.00625,exponential,0.0,AdamW,None,23792612,0.01,0.009725,0.0116,113.43480769230769
046,resnet50,standardization,None,float64,128,80-10-10,0.0008,polynomial,0.99,SGD,jit_compilation,23792612,0.67,0.827843,0.682692,163.77480769230772
047,resnet50,None,None,float32,64,60-20-20,0.00625,constant,0.9,SGD,post_quantization,23846055,0.01,0.976579,0.928385,182.02019230769233
048,resnet50,None,cutmix,float64,128,80-10-10,0.00625,cosine,0.9,Adam,pre_quantization,23846055,0.009,0.008925,0.007812,144.28076923076924
049,resnet50,None,random,float64,64,70-15-15,0.00625,cosine,0.9,RMSProp,jit_compilation,23792612,0.052,0.048617,0.048344,168.5969230769231
050,resnet50,None,cutmix,float16,64,90-5-5,0.00015,exponential,0.9,Adam,None,23792612,0.584,0.585618,0.59375,150.68749999999997
051,resnet50,None,mixup,float16,64,90-5-5,0.00625,cosine,0.5,SGD,jit_compilation,23792612,0.121,0.121507,0.136619,147.19519230769225
052,resnet50,robust_scaling,None,global_policy_float16,128,80-10-10,0.00015,constant,0.5,RMSProp,pre_quantization,23792612,0.947,0.965328,0.947917,121.27730769230773
053,resnet50,None,cutmix,global_policy_float16,64,80-10-10,0.0008,cosine,0.0,RMSProp,None,23792612,0.111,0.109975,0.113381,118.0073076923077
054,resnet50,robust_scaling,mixup,global_policy_float16,128,80-10-10,0.01,constant,0.0,AdamW,jit_compilation,23792612,0.213,0.357501,0.214944,114.06653846153849
055,resnet50,None,mixup,global_policy_float16,4,80-10-10,0.0008,exponential,0.5,RMSProp,post_quantization,23792612,0.035,0.096575,0.0304,119.32249999999999
056,resnet50,standardization,mixup,float16,64,80-10-10,0.0008,cosine,0.5,Adam,None,23792612,0.195,0.188025,0.198317,188.60019230769223
057,resnet50,robust_scaling,None,float32,128,80-10-10,0.00625,polynomial,0.5,Adam,jit_compilation,23792612,0.752,0.96954,0.7502,178.99096153846156
058,resnet50,minmax,cutmix,global_policy_float16,128,70-15-15,0.00625,exponential,0.9,SGD,jit_compilation,23792612,0.396,0.385947,0.39076,145.29326923076925
059,resnet50,minmax,mixup,global_policy_float16,32,70-15-15,0.00015,polynomial,0.99,AdamW,post_quantization,23792612,0.009,0.094793,0.008681,125.44403846153847
