epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-28 07:16:28,0,0,0,0,108.39,50,0
0,2023-02-28 07:17:43,4.526635,0.066015,4.007692,0.114984,121.91,48,0
1,2023-02-28 07:18:06,3.931074,0.118214,3.891025,0.120593,148.61,53,0
2,2023-02-28 07:18:31,3.929282,0.118726,3.858144,0.132353,118.83,51,4
3,2023-02-28 07:18:54,3.921425,0.118993,3.918939,0.133814,147.89,53,0
4,2023-02-28 07:19:17,3.916373,0.120884,3.873915,0.122596,147.96,54,0
5,2023-02-28 07:19:40,3.924449,0.119126,3.89878,0.120192,152.62,55,0
6,2023-02-28 07:20:03,3.924106,0.118392,3.836367,0.135417,150.20,54,0
7,2023-02-28 07:20:26,3.924179,0.119015,3.846732,0.132212,151.00,55,0
8,2023-02-28 07:20:50,3.922221,0.118792,3.895714,0.122596,152.74,56,0
9,2023-02-28 07:21:13,3.926269,0.118548,3.890518,0.121394,151.21,55,0
10,2023-02-28 07:21:36,3.922055,0.121574,3.894116,0.116987,151.89,56,0
11,2023-02-28 07:22:00,3.914449,0.117769,3.896289,0.11899,150.58,55,0
12,2023-02-28 07:22:23,3.918924,0.121462,3.879303,0.124199,150.63,56,0
13,2023-02-28 07:22:46,3.924581,0.12035,3.854623,0.129808,149.21,56,0
14,2023-02-28 07:23:09,3.928623,0.118014,3.88432,0.128205,148.70,54,0
15,2023-02-28 07:23:33,3.919644,0.11986,3.866623,0.130208,149.18,55,0
16,2023-02-28 07:23:55,3.928114,0.120706,3.877045,0.135417,149.09,55,0
17,2023-02-28 07:24:18,3.926352,0.118503,3.883708,0.126603,150.95,56,0
18,2023-02-28 07:24:42,3.921604,0.118932,3.896672,0.124199,148.18,54,0
19,2023-02-28 07:25:05,3.925963,0.118548,3.889679,0.126202,147.02,54,0
20,2023-02-28 07:25:29,3.922702,0.11946,3.868355,0.132612,147.83,55,0
21,2023-02-28 07:25:52,3.924729,0.119794,3.896385,0.121394,148.81,54,0
22,2023-02-28 07:26:16,3.922581,0.11946,3.881742,0.127404,147.92,55,0
23,2023-02-28 07:26:39,3.92503,0.120706,3.894794,0.125,149.04,55,0
24,2023-02-28 07:27:02,3.925134,0.118659,3.882089,0.126603,150.60,55,0
25,2023-02-28 07:27:26,3.919073,0.120417,3.872578,0.127003,144.70,54,0
26,2023-02-28 07:27:49,3.921968,0.117057,3.873055,0.126202,147.63,55,0
27,2023-02-28 07:28:12,3.91857,0.119326,3.883763,0.128676,150.60,56,0
28,2023-02-28 07:28:35,3.923209,0.119949,3.852985,0.127003,149.58,55,0
29,2023-02-28 07:28:58,3.925402,0.11788,3.888382,0.131811,147.40,54,0
30,2023-02-28 07:29:21,3.920317,0.122041,3.897926,0.122196,148.81,55,0
31,2023-02-28 07:29:45,3.928033,0.118214,3.873108,0.123798,150.26,56,0
32,2023-02-28 07:30:08,3.924038,0.118303,3.865727,0.134615,148.23,55,0
33,2023-02-28 07:30:31,3.912432,0.119994,3.849566,0.133814,148.90,55,0
34,2023-02-28 07:30:54,3.917342,0.119727,3.86701,0.131944,150.16,56,0
35,2023-02-28 07:31:18,3.918128,0.120127,3.883452,0.132612,145.83,55,0
36,2023-02-28 07:31:41,3.915134,0.120016,3.892761,0.126603,151.83,55,0
37,2023-02-28 07:32:04,3.922117,0.119838,3.865947,0.129006,146.96,55,0
38,2023-02-28 07:32:28,3.920352,0.11926,3.884484,0.125401,148.86,55,0
39,2023-02-28 07:32:51,3.919392,0.124088,3.865823,0.129006,153.09,56,0
40,2023-02-28 07:33:14,3.927619,0.119304,3.884263,0.121394,151.97,56,0
41,2023-02-28 07:33:37,3.917526,0.121485,3.853807,0.136218,150.28,56,0
42,2023-02-28 07:34:01,3.928489,0.117101,3.8794,0.126202,152.68,57,0
43,2023-02-28 07:34:24,3.920693,0.121151,3.909232,0.120192,152.82,57,0
44,2023-02-28 07:34:47,3.925509,0.11808,3.875916,0.125,149.62,56,0
45,2023-02-28 07:35:10,3.915972,0.120417,3.866061,0.131811,154.03,57,0
46,2023-02-28 07:35:33,3.921444,0.120439,3.878162,0.127003,151.94,56,0
47,2023-02-28 07:35:56,3.925713,0.118681,3.876716,0.126202,151.06,56,0
48,2023-02-28 07:36:19,3.925968,0.119104,3.882828,0.127003,152.33,57,0
49,2023-02-28 07:36:42,3.920866,0.121507,3.902695,0.136619,153.65,58,0
post,2023-02-28 07:36:48,0,0,0,0,109.94,53,0
