epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-03-01 00:51:42,0,0,0,0,108.79,52,0
0,2023-03-01 00:55:32,nan,0.010178,nan,0.0088,161.88,54,52
1,2023-03-01 00:59:00,nan,0.0104,nan,0.0076,160.12,55,39
2,2023-03-01 01:02:27,nan,0.01,nan,0.0084,160.72,54,22
3,2023-03-01 01:05:53,nan,0.009778,nan,0.008,160.76,53,19
4,2023-03-01 01:09:18,nan,0.010356,nan,0.0076,157.93,53,5
5,2023-03-01 01:12:44,nan,0.009844,nan,0.0096,159.30,53,19
6,2023-03-01 01:16:11,nan,0.010111,nan,0.0088,160.72,53,20
7,2023-03-01 01:19:38,nan,0.010133,nan,0.0088,159.50,53,19
8,2023-03-01 01:23:05,nan,0.009778,nan,0.0124,161.15,53,25
9,2023-03-01 01:26:32,nan,0.010356,nan,0.0064,159.16,52,22
10,2023-03-01 01:29:59,nan,0.010156,nan,0.0092,160.85,52,54
11,2023-03-01 01:33:27,nan,0.01,nan,0.0108,158.91,53,8
12,2023-03-01 01:36:54,nan,0.010089,nan,0.0064,158.35,54,5
13,2023-03-01 01:40:22,nan,0.010244,nan,0.0104,160.31,54,17
14,2023-03-01 01:43:49,nan,0.010111,nan,0.0088,160.32,54,8
15,2023-03-01 01:47:17,nan,0.009844,nan,0.0088,159.50,54,10
16,2023-03-01 01:50:44,nan,0.01,nan,0.0132,160.42,54,2
17,2023-03-01 01:54:12,nan,0.009844,nan,0.01,161.10,54,45
18,2023-03-01 01:57:40,nan,0.010267,nan,0.0072,160.82,55,24
19,2023-03-01 02:01:08,nan,0.009889,nan,0.0108,159.53,54,36
20,2023-03-01 02:04:37,nan,0.010178,nan,0.0108,160.78,53,43
21,2023-03-01 02:08:05,nan,0.009844,nan,0.0092,160.30,53,44
22,2023-03-01 02:11:33,nan,0.009511,nan,0.01,157.09,53,28
23,2023-03-01 02:15:00,nan,0.009733,nan,0.012,159.10,53,19
24,2023-03-01 02:18:29,nan,0.009578,nan,0.0088,158.57,53,3
25,2023-03-01 02:21:56,nan,0.010622,nan,0.0096,158.32,53,8
26,2023-03-01 02:25:24,nan,0.010511,nan,0.0068,160.60,53,27
27,2023-03-01 02:28:53,nan,0.010556,nan,0.0104,158.35,52,39
28,2023-03-01 02:32:20,nan,0.010178,nan,0.0068,159.96,53,11
29,2023-03-01 02:35:48,nan,0.009556,nan,0.0092,159.27,53,30
30,2023-03-01 02:39:15,nan,0.0104,nan,0.0112,160.99,54,21
31,2023-03-01 02:42:43,nan,0.010489,nan,0.0064,160.38,54,8
32,2023-03-01 02:46:11,nan,0.011111,nan,0.0124,160.73,54,16
33,2023-03-01 02:49:39,nan,0.010533,nan,0.0104,159.71,54,9
34,2023-03-01 02:53:08,nan,0.010044,nan,0.0104,158.30,55,11
35,2023-03-01 02:56:35,nan,0.010111,nan,0.0088,161.04,55,22
36,2023-03-01 03:00:03,nan,0.009978,nan,0.0096,162.41,55,22
37,2023-03-01 03:03:31,nan,0.009822,nan,0.0056,158.40,54,28
38,2023-03-01 03:07:00,nan,0.009978,nan,0.0092,158.19,53,32
39,2023-03-01 03:10:28,nan,0.009978,nan,0.0136,161.14,53,16
40,2023-03-01 03:13:56,nan,0.009644,nan,0.01,159.31,53,11
41,2023-03-01 03:17:24,nan,0.009756,nan,0.0052,158.40,53,6
42,2023-03-01 03:20:52,nan,0.010244,nan,0.0116,159.81,53,30
43,2023-03-01 03:24:20,nan,0.010044,nan,0.0096,157.65,52,47
44,2023-03-01 03:27:48,nan,0.010111,nan,0.008,160.06,52,21
45,2023-03-01 03:31:17,nan,0.010489,nan,0.0104,159.76,52,9
46,2023-03-01 03:34:46,nan,0.010378,nan,0.0088,162.05,53,49
47,2023-03-01 03:38:14,nan,0.010267,nan,0.006,158.79,54,36
48,2023-03-01 03:41:42,nan,0.010267,nan,0.0104,159.66,54,42
49,2023-03-01 03:45:10,nan,0.010733,nan,0.0072,159.16,54,41
post,2023-03-01 03:45:16,0,0,0,0,107.53,49,0
