epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-28 08:31:38,0,0,0,0,105.54,44,0
0,2023-02-28 08:38:12,5.074847,0.0205,nan,0.0186,117.03,45,0
1,2023-02-28 08:44:21,4.395235,0.032025,327.535706,0.0206,118.95,46,0
2,2023-02-28 08:50:30,4.328844,0.038325,nan,0.0202,121.13,46,0
3,2023-02-28 08:56:41,4.236115,0.047275,nan,0.0304,119.45,46,0
4,2023-02-28 09:02:54,4.174888,0.057675,nan,0.0352,117.27,45,0
5,2023-02-28 09:09:10,4.135509,0.063125,nan,0.0292,121.34,44,1
6,2023-02-28 09:15:17,4.078004,0.074825,nan,0.0426,116.51,43,0
7,2023-02-28 09:21:29,4.043708,0.077775,nan,0.042,116.72,43,0
8,2023-02-28 09:27:42,4.01102,0.0831,nan,0.038,120.47,43,0
9,2023-02-28 09:33:55,3.991204,0.09005,nan,0.037,116.71,44,0
10,2023-02-28 09:40:10,3.984854,0.08995,nan,0.0468,119.19,45,3
11,2023-02-28 09:46:19,3.966896,0.0916,nan,0.0314,122.35,46,0
12,2023-02-28 09:52:35,3.96813,0.092825,nan,0.0394,116.31,46,0
13,2023-02-28 09:58:53,3.959349,0.094325,nan,0.038,118.62,46,0
14,2023-02-28 10:05:03,3.952165,0.094025,nan,0.0292,115.48,44,0
15,2023-02-28 10:11:19,3.951796,0.094925,nan,0.036,118.17,44,0
16,2023-02-28 10:17:35,3.943925,0.09735,nan,0.0372,116.77,43,0
17,2023-02-28 10:23:46,3.949312,0.0939,nan,0.0352,117.66,43,2
18,2023-02-28 10:30:06,3.945405,0.095675,nan,0.031,117.29,44,0
19,2023-02-28 10:36:18,3.94195,0.0992,nan,0.0342,117.34,45,0
20,2023-02-28 10:42:33,3.947198,0.09755,nan,0.0318,117.55,45,0
21,2023-02-28 10:48:50,3.946174,0.09625,nan,0.0326,118.15,46,0
22,2023-02-28 10:55:07,3.950398,0.09345,nan,0.0316,119.48,46,0
23,2023-02-28 11:01:21,3.947042,0.095325,nan,0.0334,118.11,45,0
24,2023-02-28 11:07:34,3.942204,0.096,nan,0.0292,117.22,44,1
25,2023-02-28 11:13:00,3.94712,0.09515,nan,0.0324,124.22,46,19
26,2023-02-28 11:17:59,3.950933,0.0956,nan,0.0336,120.71,45,10
27,2023-02-28 11:22:58,3.94492,0.0974,nan,0.0318,121.52,45,5
28,2023-02-28 11:27:58,3.940827,0.0974,nan,0.0306,122.05,44,9
29,2023-02-28 11:32:57,3.942895,0.098775,nan,0.0316,122.69,45,0
30,2023-02-28 11:37:56,3.942678,0.095975,nan,0.0324,122.17,45,14
31,2023-02-28 11:42:55,3.94025,0.097025,nan,0.0332,121.22,46,8
32,2023-02-28 11:47:54,3.94281,0.09565,nan,0.0328,122.25,46,16
33,2023-02-28 11:52:53,3.938406,0.0968,nan,0.0336,120.50,46,9
34,2023-02-28 11:57:53,3.944331,0.0964,nan,0.0328,120.84,46,0
35,2023-02-28 12:02:53,3.940531,0.0939,nan,0.0344,121.33,46,4
36,2023-02-28 12:07:53,3.943693,0.097075,nan,0.0316,121.08,46,5
37,2023-02-28 12:12:52,3.951697,0.096125,nan,0.0292,121.39,46,11
38,2023-02-28 12:17:51,3.944164,0.096075,nan,0.0322,120.82,46,0
39,2023-02-28 12:22:51,3.942765,0.0965,nan,0.0344,122.23,46,16
40,2023-02-28 12:27:51,3.946375,0.0963,nan,0.0332,120.06,46,6
41,2023-02-28 12:32:50,3.946589,0.09695,nan,0.0308,121.49,46,11
42,2023-02-28 12:37:50,3.94412,0.09495,nan,0.034,122.18,46,18
43,2023-02-28 12:42:51,3.949292,0.0973,nan,0.0334,120.46,46,4
44,2023-02-28 12:47:51,3.946038,0.0947,nan,0.0292,122.03,46,15
45,2023-02-28 12:52:49,3.939763,0.096725,nan,0.035,121.05,46,0
46,2023-02-28 12:57:49,3.937731,0.096125,nan,0.0344,121.18,46,10
47,2023-02-28 13:02:48,3.945495,0.095525,nan,0.032,121.57,46,10
48,2023-02-28 13:07:48,3.947292,0.0987,nan,0.0342,122.33,47,15
49,2023-02-28 13:12:47,3.949432,0.096575,nan,0.0304,121.11,47,7
post,2023-02-28 13:12:52,0,0,0,0,105.48,46,0
