epoch,time,loss,accuracy,val_loss,val_accuracy,gpu_power_W,gpu_temp_C,gpu_util_%
pre,2023-02-26 12:06:01,0,0,0,0,111.35,59,0
0,2023-02-26 12:07:27,4.892352,0.026886,4.728409,0.011171,139.48,57,8
1,2023-02-26 12:07:38,4.256414,0.071414,4.183162,0.066106,211.85,63,0
2,2023-02-26 12:07:49,4.045161,0.103665,4.014851,0.115084,167.13,58,13
3,2023-02-26 12:08:00,3.923619,0.121255,3.933093,0.144932,159.30,55,0
4,2023-02-26 12:08:12,3.779612,0.150615,3.797569,0.168176,160.57,54,11
5,2023-02-26 12:08:23,3.670387,0.170546,3.575732,0.192909,173.21,55,0
6,2023-02-26 12:08:34,3.528,0.199773,3.594491,0.212139,179.00,56,0
7,2023-02-26 12:08:45,3.432877,0.221154,3.610383,0.22496,198.74,56,0
8,2023-02-26 12:08:56,3.326315,0.242755,3.438683,0.252717,178.17,55,0
9,2023-02-26 12:09:07,3.245889,0.263042,3.338055,0.269431,162.71,53,7
10,2023-02-26 12:09:18,3.124764,0.288595,3.134478,0.305188,158.44,54,23
11,2023-02-26 12:09:29,3.039703,0.309089,3.070009,0.316106,194.73,56,21
12,2023-02-26 12:09:41,2.934989,0.336071,2.956611,0.337941,176.88,56,11
13,2023-02-26 12:09:52,2.869577,0.3543,2.819535,0.370693,207.19,57,18
14,2023-02-26 12:10:02,2.776818,0.377174,2.738091,0.379126,212.46,57,0
15,2023-02-26 12:10:13,2.730873,0.393626,2.701041,0.403986,211.37,56,6
16,2023-02-26 12:10:23,2.611341,0.42175,2.609205,0.430889,208.72,56,0
17,2023-02-26 12:10:34,2.526376,0.445292,2.524762,0.44972,195.02,56,19
18,2023-02-26 12:10:46,2.428588,0.469201,2.806977,0.452825,151.60,52,17
19,2023-02-26 12:10:58,2.351971,0.489149,2.477841,0.49399,145.33,53,0
20,2023-02-26 12:11:10,2.253836,0.516653,2.214877,0.53776,143.60,53,0
21,2023-02-26 12:11:22,2.179499,0.541399,2.208928,0.542969,144.59,53,0
22,2023-02-26 12:11:34,2.140733,0.551498,2.158666,0.545773,152.86,54,0
23,2023-02-26 12:11:46,2.138734,0.548789,2.016334,0.582232,161.81,55,0
24,2023-02-26 12:11:58,1.97359,0.59691,1.931713,0.600461,180.80,57,0
25,2023-02-26 12:12:09,1.949729,0.605605,2.281925,0.585537,150.95,53,16
26,2023-02-26 12:12:21,1.891111,0.627675,1.816979,0.654347,162.39,55,0
27,2023-02-26 12:12:32,1.817894,0.643693,2.110083,0.643317,201.07,57,0
28,2023-02-26 12:12:43,1.775488,0.656601,1.968299,0.665865,187.14,56,0
29,2023-02-26 12:12:53,1.70604,0.679274,1.946372,0.631711,206.17,56,9
30,2023-02-26 12:13:04,1.68942,0.687801,1.651209,0.696214,201.76,56,0
31,2023-02-26 12:13:15,1.615049,0.706631,1.564819,0.717248,192.21,56,0
32,2023-02-26 12:13:26,1.564057,0.721877,1.644328,0.727464,202.18,56,0
33,2023-02-26 12:13:37,1.568757,0.723448,1.803527,0.683494,205.75,56,8
34,2023-02-26 12:13:47,1.576045,0.713383,1.633982,0.731571,197.32,56,6
35,2023-02-26 12:13:58,1.562095,0.728032,1.50956,0.744091,205.12,56,0
36,2023-02-26 12:14:09,1.516755,0.735721,1.447771,0.763922,170.54,53,0
37,2023-02-26 12:14:21,1.44471,0.757457,1.97637,0.725141,175.66,55,11
38,2023-02-26 12:14:32,1.547949,0.728464,1.777959,0.690721,190.95,56,0
39,2023-02-26 12:14:43,1.516927,0.742655,2.03026,0.749094,188.34,56,3
40,2023-02-26 12:14:54,1.386263,0.776618,1.380185,0.786759,181.39,55,0
41,2023-02-26 12:15:05,1.372139,0.785079,1.741989,0.776973,192.79,56,0
42,2023-02-26 12:15:16,1.312099,0.800528,1.435181,0.798177,181.95,54,2
43,2023-02-26 12:15:27,1.294286,0.804909,1.290505,0.808293,180.98,56,0
44,2023-02-26 12:15:38,1.265362,0.815805,1.310487,0.81871,207.32,56,15
45,2023-02-26 12:15:49,1.246253,0.823384,1.232383,0.823317,190.89,56,0
46,2023-02-26 12:16:00,1.367507,0.783507,1.447205,0.772746,170.20,53,0
47,2023-02-26 12:16:11,1.298766,0.804688,1.310442,0.814904,175.18,55,4
48,2023-02-26 12:16:21,1.289065,0.808193,1.293926,0.830113,180.95,55,0
49,2023-02-26 12:16:32,1.228319,0.825976,1.728301,0.813602,187.06,56,9
post,2023-02-26 12:16:38,0,0,0,0,105.29,48,0
